#
#	Japanese NetHack Copyright (c) Issei Numata 1994 
#	JNetHack may be freely redistributed.  See license for details. 
#
#	English -> Japanese objects transfer table
#
#	missiles
#
)arrow:			矢:
)elven arrow:		エルフの矢:
)runed arrow:		神秘的な矢:
)orcish arrow:		オークの矢:
)crude arrow:		粗末な矢:
)silver arrow:		銀の矢:
)crossbow bolt:		クロスボゥボルト:
)bamboo arrow:		竹の矢:
)dart:			投げ矢:
)shuriken:		手裏剣:
)throwing star:		星型の投げるもの:
)boomerang:		ブーメラン:
)spear:			槍:
)elven spear:		エルフの槍:
)runed spear:		神秘的な槍:
)orcish spear:		オークの槍:
)crude spear:		粗末な槍:
)dwarvish spear:	ドワーフの槍:
)stout spear:		丈夫な槍:
)javelin:		ジャベリン:
)throwing spear:	投げ槍:
)trident:		トライデント:
)lance:			ランス:
)dagger:		短剣:
)elven dagger:		エルフの短剣:
)runed dagger:		神秘的な短剣:
)orcish dagger:		オークの短剣:
)crude dagger:		粗末な短剣:
)athame:		アサメ:	
)scalpel:		メス:
)knife:			ナイフ:
)stiletto:		スティレット:
)worm tooth:		ワームの歯:
)crysknife:		クリスナイフ:
)dwarvish mattock:	ドワーフのつるはし:
)broad pick:		幅広のつるはし:
)heavy pick:		重いつるはし:
)axe:			斧:
)battle-axe:		戦斧:
)double-headed axe:	両刃の斧:
)short sword:		小剣:
)elven short sword:	エルフの小剣:
)runed short sword:	神秘的な小剣:
)orcish short sword:	オークの小剣:
)crude short sword:	粗末な小剣:
)dwarvish short sword:	ドワーフの小剣:
)broad short sword:	幅広の小剣:
)scimitar:		三日月刀:
)curved sword:		曲った剣:
)silver saber:		銀のサーベル:
)broadsword:		幅広の剣:
)elven broadsword:	エルフの幅広の剣:
)runed broadsword:	神秘的な幅広の剣:
)long sword:		長剣:
)two-handed sword:	両手持ちの剣:
)katana:		刀:
)samurai sword:		侍の剣:
)tsurugi:		剣:
)long samurai sword:	侍の長剣:
)runesword:		ルーンの剣:
)runed broadsword:	神秘的な幅広の剣:
)partisan:		パルチザン:
)vulgar polearm:	長斧:	
)ranseur:		ランサー:
)hilted polearm:	柄付の長斧:	
)spetum:		スペタム:
)forked polearm:	フォーク付き長斧:	
)glaive:		グレイブ:
)single-edged polearm:	片刃長斧:
)halberd:		ハルバード:
)angled poleaxe:	曲ったまさかり:
)bardiche:		バーディック:
)long poleaxe:		長いまさかり:
)voulge:		ボルゲ:	
)pole cleaver:		肉切り包丁:
)fauchard:		槍剣:
)pole sickle:		かま:
)guisarme:		ギザルム:
)pruning hook:		刈り込みがま:
)bill-guisarme:		ビル・ギザルム:
)hooked polearm:	鈎付の長斧:	
)lucern hammer:		ルッツェルンハンマー:
)pronged polearm:	二股の長斧:	
)bec de corbin:		ベック・ド・コルバン:
)beaked polearm:	槍つきの長斧:
)mace:			メイス:
)morning star:		モーニングスター:
)war hammer:		ウォーハンマー:
)club:			こん棒:
)rubber hose:		ゴムホース:
)quarterstaff:		六尺棒:
)staff:			棒:
)aklys:			アキリス:
)thonged club:		紐付のこん棒:
)flail:			フレイル:
)bullwhip:		鞭:
# 追加 by Ooi Takefumi
)dark elven arrow:	ダークエルフの矢:
)black runed arrow:	黒い神秘的な矢:
)dark elven dagger:	ダークエルフの短剣:
)black runed dagger:	黒い神秘的な短剣:
)dark elven short sword:	ダークエルフの小剣:
)black runed short sword:	黒い神秘的な小剣:
)silver dagger:		銀のダガー:
)silver short sword:	銀の小剣:
)silver long sword:	銀の長剣:
)silver mace:		銀のメイス:
)silver spear:		銀の槍:
)lightsaber:		ライトセイバー:
)green shimmering sword:	緑に輝く剣:
)darksaber:		ダークセイバー:
)red shimmering sword:	赤に輝く剣:
)heavy hammer:		大金ずち:
)wooden stake:		木の杭:
)baseball bat:		野球のバット:
)great dagger:		鋭い短剣:
)rapier:		レイピア:

#
#	bows
#
)bow:		弓:
)elven bow:	エルフの弓:
)runed bow:	神秘的な弓:
)orcish bow:	オークの弓:
)crude bow:	粗末な弓:
)yumi:		和弓:
)long bow:	長弓:
)sling:		スリング:
)crossbow:	クロスボゥ:
# 追加 by Ooi Takefumi
)dark elven bow:	ダークエルフの弓:
)black runed bow:	黒い神秘的な弓:
#
#	dummy weapon(for #enhance)
#
)polearms:		長斧:
)saber:			サーベル:
)two weapon combat:	二刀流:
)pick-axe:		つるはし:
)bare handed combat:	素手:
)martial arts:		マーシャルアーツ:
)unicorn horn:		ユニコーンの角:
#
#	armors
#
]elven leather helm:	エルフの革帽子:
]leather hat:		皮帽子:
